,Record Audio Name,Content,Pronun,Fluency,feature_vector
376,audio_c668e12a-120d-4a5c-8baa-5f09df63a2b6,37,20,44,
377,audio_79c93fbb-47b7-40e8-90b0-4fe8a21fd9b6,69,50,66,
378,audio_9cad30cf-a9dd-4046-84c0-ff667cad1614,39,22,44,
379,audio_d9d482a4-1c2b-4c3f-8f8c-fcdca30df232,65,40,73,
380,audio_78bf4131-2933-4ddc-8404-da8e0fc923a0,77,60,73,
381,audio_2ffca301-649f-4cd8-9588-637b41ba13d3,45,22,51,
382,audio_23b2b7dd-b64a-4f8a-84dc-4bfd4f2cf241,71,50,73,
383,audio_5acc7326-7c78-44ff-af05-d3f33b80b10f,59,38,548,
384,audio_d7c0e254-ca68-437b-a86c-4f92842aa121,90,80,81,
385,audio_c04df121-f6dc-4619-99f9-43c898ae49a4,86,71,77,
386,audio_66ee0c5d-6353-449c-bcc7-9f1426d24bb5,77,60,67,
387,audio_a267d5c1-0b5b-4ece-9620-5533a16a53ba,14,10,13,
388,audio_f643becf-d355-4d6e-a258-7e12b9363eaf,32,16,31,
389,audio_be7ea8e7-1e3d-4dd8-bdcd-522a76b97f78,80,57,79,
390,audio_e02fbccb-4118-46b9-909c-212287ef34ab,41,16,49,
391,audio_0a5a69f5-ba7d-4711-b43d-06d71d8cb59d,77,61,73,
392,audio_98ed6a1d-a3bd-4719-8992-a3fd4db9c4ec,32,16,32,
393,audio_cc043c7d-e31e-4bc5-a7f4-8ca2db52dc70,59,43,58,
394,audio_b0556373-a8a9-40bd-a39d-849d627ef3bc,86,71,78,
395,audio_a8c2a36b-963c-4cdf-ac63-686af657eeb1,81,69,73,
396,audio_2ef2cda5-2002-49b6-b0e7-66793d291970,77,58,72,
397,audio_05eb7386-0407-486f-87e7-a359133feb11,61,43,53,
398,audio_19e029c9-8e82-44bb-9726-0ed1f40340d8,75,57,70,
399,audio_cb78c96e-9eb5-4525-a1c5-adbfd41341fb,35,18,41,
400,audio_be54d637-0461-48f6-8d77-ec70bd6a45a6,55,36,55,
401,audio_8955ace3-7fc4-4e7c-b884-ea83275d016c,71,50,69,
403,audio_448d0f6a-c61e-49c7-b4c2-525eac0fde3b,35,17,39,
404,audio_b8ae3283-e75a-4b1f-b8c2-e1ab2e6685bd,46,25,45,
405,audio_07253714-e44e-4b59-b32e-fa155ac9218a,10,10,13,
406,audio_53f8c880-e0a8-4a9b-b16c-251189383daa,37,18,40,
407,audio_c210de42-58d6-4d9c-b811-bb029008b2e5,64,32,66,
408,audio_52dd6faa-e59f-4cfd-8a5c-2ccf65dee1e7,37,17,33,
409,audio_4ebca737-a264-4b60-82c9-f8a5a3645656,71,50,64,
410,audio_a9976730-fc43-4c03-88eb-556a8321178d,76,49,71,
411,audio_39fa73a4-dcb0-4fe5-aa3d-95a54c18ee7b,27,13,29,
412,audio_b0fb6b26-c69d-4eff-b990-5f5d91ede0d4,73,54,67,
413,audio_8cdf2f1a-af48-47c9-894e-54579efbbed4,21,12,33,
414,audio_7bf5e66f-3944-4da6-a248-edae2fa54db5,52,26,54,
415,audio_47ddb83a-710e-404d-9225-e39191527ad0,49,25,58,
416,audio_e9db4ebc-05fa-4b81-a053-ba2b29752305,14,10,18,
417,audio_052b06ec-23e9-4a8c-982c-5dcc082a8a27,23,13,33,
418,audio_7ff9a533-6939-4f7a-b11c-55bb79c07cd3,12,10,25,
419,audio_6646748f-1182-469e-82f3-2c4f45fb6ff2,14,10,26,
420,audio_e7093d15-b7bd-462b-9fbf-81770288b131,48,26,47,
421,audio_bf9bf0a7-5837-42a7-a96b-909b963bc928,82,68,73,
422,audio_f2b8ff1e-538f-4cee-96b0-ebfe5ca98a89,75,57,65,
423,audio_1a770fa1-b54a-42c2-83d0-c687328d66b2,33,18,39,
424,audio_384c1f79-8577-4663-bdba-33245a5d85ea,65,40,54,
425,audio_7ea181b4-ac85-4269-a3a5-2ef56bd6bb63,10,10,10,
426,audio_d3528ab8-9377-4290-a7b4-895a5273386e,10,10,21,
427,audio_26b0ab19-ac6f-433b-95b2-3a48bad12aae,46,26,39,
428,audio_257c1a74-153f-457e-8a34-1a514c689955,16,10,27,
